Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune
2023-12-08,1150000,"Solgt, Familiehandel",1962,https://www.boligsiden.dk/adresse/klokkerhaven-2d-0-tv-2750-ballerup-01510183__2d_st__tv,"Klokkerhaven 2D, st. tv. 2750 Ballerup",Klokkerhaven 2,85.0,55.7351239,12.3593293,Ballerup
2015-12-23,1207528,"Solgt, Familiehandel",2007,https://www.boligsiden.dk/adresse/soendergaards-alle-15-0-tv-2760-maaloev-01510802__15_st__tv,"Søndergårds Allé 15, st. tv. 2760 Måløv",Søndergårds Allé 15,115.0,55.7453358,12.3209485,Ballerup
2015-05-26,1568000,"Solgt, Familiehandel",2004,https://www.boligsiden.dk/adresse/soendergaards-alle-194-2760-maaloev-01510802_194_______,Søndergårds Allé 194 2760 Måløv,Søndergårds Allé 194 2760,100.0,55.74683,12.312458,Ballerup
2016-01-08,790000,"Solgt, Øvrigt",1948,https://www.boligsiden.dk/adresse/maaloev-hovedgade-58c-0-tv-2760-maaloev-01510778_58c_st__tv,"Måløv Hovedgade 58C, st. tv. 2760 Måløv",Måløv Hovedgade 58,59.0,55.7492471,12.3197706,Ballerup
2018-11-26,565000,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/hoejagerparken-20-2-2750-ballerup-01510158__20__2____,"Højagerparken 20, 2. 2750 Ballerup",Højagerparken 20,46.0,55.734945,12.361677,Ballerup
2016-12-01,1450000,"Solgt, Familiehandel",2008,https://www.boligsiden.dk/adresse/marbaek-park-2-1-4-2750-ballerup-01510622___2__1___4,"Marbæk Park 2, 1. 4. 2750 Ballerup",Marbæk Park 2,62.0,55.7191863,12.3748858,Ballerup
2016-03-23,1450000,"Solgt, Familiehandel",2008,https://www.boligsiden.dk/adresse/marbaek-park-2-1-4-2750-ballerup-01510622___2__1___4,"Marbæk Park 2, 1. 4. 2750 Ballerup",Marbæk Park 2,62.0,55.7191863,12.3748858,Ballerup
2018-02-14,527000,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/hoejagerparken-5-0-2750-ballerup-01510158___5_st____,"Højagerparken 5, st. 2750 Ballerup",Højagerparken 5,46.0,55.734055,12.361011,Ballerup
2019-10-11,990000,"Solgt, Familiehandel",1973,https://www.boligsiden.dk/adresse/hoejagerparken-75-0-th-2750-ballerup-01510158__75_st__th,"Højagerparken 75, st. th. 2750 Ballerup",Højagerparken 75,78.0,55.734503,12.359365,Ballerup
2018-09-11,2195000,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/hoejagerparken-36-2-th-2750-ballerup-01510158__36__2__th,"Højagerparken 36, 2. th. 2750 Ballerup",Højagerparken 36,91.0,55.7355634,12.3615052,Ballerup
2015-02-18,1295000,"Solgt, Familiehandel",2006,https://www.boligsiden.dk/adresse/marbaek-park-42-0-4-2750-ballerup-01510622__42_st___4,"Marbæk Park 42, st. 4. 2750 Ballerup",Marbæk Park 42,63.0,55.7191182,12.372098,Ballerup
2018-12-13,2825000,"Solgt, Auktion",2007,https://www.boligsiden.dk/adresse/soendergaards-alle-17-3-th-2760-maaloev-01510802__17__3__th,"Søndergårds Allé 17, 3. th. 2760 Måløv",Søndergårds Allé 17,96.0,55.7451847,12.3207318,Ballerup
2017-11-10,1375000,"Solgt, Familiehandel",2006,https://www.boligsiden.dk/adresse/soendergaards-alle-21-3-th-2760-maaloev-01510802__21__3__th,"Søndergårds Allé 21, 3. th. 2760 Måløv",Søndergårds Allé 21,97.0,55.7456012,12.3204025,Ballerup
2018-12-12,1000000,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/hoejagerparken-5-1-2750-ballerup-01510158___5__1____,"Højagerparken 5, 1. 2750 Ballerup",Højagerparken 5,46.0,55.734055,12.361011,Ballerup
2015-04-03,1025000,"Solgt, Familiehandel",2000,https://www.boligsiden.dk/adresse/klakkebjerg-8e-1-2750-ballerup-01510750__8e__1____,"Klakkebjerg 8E, 1. 2750 Ballerup",Klakkebjerg 8,56.0,55.7502651,12.3373467,Ballerup
2016-08-24,1050000,"Solgt, Familiehandel",2008,https://www.boligsiden.dk/adresse/marbaek-park-2-0-2-2750-ballerup-01510622___2_st___2,"Marbæk Park 2, st. 2. 2750 Ballerup",Marbæk Park 2,109.0,55.7191863,12.3748858,Ballerup
2015-08-31,1020000,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/hoejagerparken-29-2-th-2750-ballerup-01510158__29__2__th,"Højagerparken 29, 2. th. 2750 Ballerup",Højagerparken 29,91.0,55.7355202,12.3606316,Ballerup
2016-06-15,1475000,"Solgt, Familiehandel",2008,https://www.boligsiden.dk/adresse/marbaekvej-4-2-3-2750-ballerup-01510625___4__2___3,"Marbækvej 4, 2. 3. 2750 Ballerup",Marbækvej 4,77.0,55.7207814,12.375236,Ballerup
2016-09-30,446250,"Solgt, Familiehandel",1971,https://www.boligsiden.dk/adresse/broendbyvestervej-36-1-th-2605-broendby-01530071__36__1__th,"Brøndbyvestervej 36, 1. th. 2605 Brøndby",Brøndbyvestervej 36,79.0,55.6584363,12.4084744,broendby
2018-01-10,1633000,"Solgt, Familiehandel",1971,https://www.boligsiden.dk/adresse/broendbyvestervej-50-1-th-2605-broendby-01530071__50__1__th,"Brøndbyvestervej 50, 1. th. 2605 Brøndby",Brøndbyvestervej 50,79.0,55.6576337,12.4087833,broendby
2022-12-05,372575,"Solgt, Øvrigt",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-60a-2-2-2605-broendby-01530071_60a__2___2,"Brøndbyvestervej 60A, 2. 2. 2605 Brøndby",Brøndbyvestervej 60,46.0,55.65864240000001,12.4096224,broendby
