Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2019-10-04,4998000,"Solgt, Fri handel",1930,https://www.boligsiden.dk/adresse/ulriksdalvej-12-2500-valby-01017832__12_______,Ulriksdalvej 12 2500 Valby,Ulriksdalvej 12 2500,130.0,55.6738027,12.4857293,København,Villa,,
2020-03-20,2995000,"Solgt, Fri handel",2021,https://www.boligsiden.dk/adresse/soendervigvej-10-2720-vanloese-01017304__10_______,Søndervigvej 10 2720 Vanløse,Søndervigvej 10 2720,191.0,55.6916839,12.4748785,København,Villa,,
2023-03-27,9550000,"Solgt, Fri handel",1919,https://www.boligsiden.dk/adresse/bavnevangen-8-2700-broenshoej-01010408___8_______,Bavnevangen 8 2700 Brønshøj,Bavnevangen 8 2700,139.0,55.7079748,12.5057348,København,Villa,,
2016-09-20,4200000,"Solgt, Fri handel",1919,https://www.boligsiden.dk/adresse/bavnevangen-8-2700-broenshoej-01010408___8_______,Bavnevangen 8 2700 Brønshøj,Bavnevangen 8 2700,139.0,55.7079748,12.5057348,København,Villa,,
2020-06-25,5395000,"Solgt, Fri handel",1934,https://www.boligsiden.dk/adresse/hvidkloevervej-9-2400-koebenhavn-nv-01013124___9_______,Hvidkløvervej 9 2400 København NV,Hvidkløvervej 9 2400,194.0,55.72585609999999,12.5281424,København,Villa,,
2017-01-22,4810000,"Solgt, Fri handel",1927,https://www.boligsiden.dk/adresse/hoejlandsvangen-56-2700-broenshoej-01013204__56_______,Højlandsvangen 56 2700 Brønshøj,Højlandsvangen 56 2700,100.0,55.7078583,12.5025113,København,Villa,,
2015-02-18,6032000,"Solgt, Fri handel",1940,https://www.boligsiden.dk/adresse/edelsmindevej-17-2700-broenshoej-01011428__17_______,Edelsmindevej 17 2700 Brønshøj,Edelsmindevej 17 2700,176.0,55.7016265,12.4878204,København,Villa,,
2020-06-22,5300000,"Solgt, Fri handel",1950,https://www.boligsiden.dk/adresse/horsebakken-16-2400-koebenhavn-nv-01013024__16_______,Horsebakken 16 2400 København NV,Horsebakken 16 2400,176.0,55.7117067,12.5141099,København,Villa,,
2017-09-26,4735000,"Solgt, Fri handel",1950,https://www.boligsiden.dk/adresse/horsebakken-16-2400-koebenhavn-nv-01013024__16_______,Horsebakken 16 2400 København NV,Horsebakken 16 2400,176.0,55.7117067,12.5141099,København,Villa,,
2015-05-26,2850000,"Solgt, Fri handel",1945,https://www.boligsiden.dk/adresse/skensvedvej-41-2700-broenshoej-01016444__41_______,Skensvedvej 41 2700 Brønshøj,Skensvedvej 41 2700,130.0,55.70378520000001,12.4771221,København,Villa,,
